decision,p15,S,origin_close,direction,m1_pos,source_m5
2024-01-02 15:35:00,0.7983344547693874,8.502601473729385,2069.45,1,708349,2024-01-02 15:30:00
2024-01-02 15:55:00,0.7621271208642855,8.502601473729385,2066.94,-1,708369,2024-01-02 15:50:00
2024-01-02 16:40:00,0.802962500983935,8.818844225605845,2066.94,1,708414,2024-01-02 16:35:00
2024-01-02 17:20:00,0.7940413335241467,8.818844225605845,2065.09,-1,708454,2024-01-02 17:15:00
2024-01-02 17:40:00,0.8998168000447507,8.818844225605845,2057.45,-1,708474,2024-01-02 17:35:00
2024-01-02 18:10:00,0.7856895348728925,8.818844225605845,2065.57,1,708504,2024-01-02 18:05:00
2024-01-03 14:10:00,0.7663532145008545,8.622699710421738,2044.86,-1,709643,2024-01-03 14:05:00
2024-01-03 15:35:00,0.7887089621645358,8.622699710421738,2042.94,-1,709728,2024-01-03 15:30:00
2024-01-03 15:50:00,0.7525488542866139,8.622699710421738,2039.93,-1,709743,2024-01-03 15:45:00
2024-01-03 16:25:00,0.7649343898498613,9.326078302534457,2035.92,-1,709778,2024-01-03 16:20:00
2024-01-03 16:35:00,0.75670852611028,9.326078302534457,2035.68,-1,709788,2024-01-03 16:30:00
2024-01-03 17:05:00,0.9454399785731548,9.326078302534457,2046.84,1,709818,2024-01-03 17:00:00
2024-01-03 17:55:00,0.7570254114690724,9.326078302534457,2033.89,-1,709868,2024-01-03 17:50:00
2024-01-03 18:05:00,0.7765161492843826,9.326078302534457,2035.29,-1,709878,2024-01-03 18:00:00
2024-01-04 15:35:00,0.7953783166926843,9.129116720679853,2041.92,-1,711107,2024-01-04 15:30:00
2024-01-04 17:15:00,0.7645971844569497,9.33560838348845,2045.14,1,711207,2024-01-04 17:10:00
2024-01-05 15:35:00,0.9829919608701027,8.514385865135397,2029.27,-1,712486,2024-01-05 15:30:00
2024-01-09 15:40:00,0.7671772324454316,9.63115925182105,2038.45,1,715248,2024-01-09 15:35:00
2024-01-09 15:50:00,0.828823329252781,9.63115925182105,2038.0,1,715258,2024-01-09 15:45:00
2024-01-11 15:25:00,0.8312983063154945,8.599796963367135,2038.94,1,717991,2024-01-11 15:20:00
2024-01-11 18:25:00,0.8005742508902045,9.331954323126634,2019.16,-1,718171,2024-01-11 18:20:00
2024-01-11 18:40:00,0.7728775204499679,9.331954323126634,2015.09,-1,718186,2024-01-11 18:35:00
2024-01-11 18:50:00,0.7557892813202771,9.331954323126634,2019.92,-1,718196,2024-01-11 18:45:00
2024-01-12 15:35:00,0.8887273930299058,9.642957596716883,2052.25,1,719380,2024-01-12 15:30:00
2024-01-12 16:05:00,0.8279914822576966,10.283460625522812,2057.39,1,719410,2024-01-12 16:00:00
2024-01-16 15:15:00,0.7613085536899038,8.472319811778126,2031.9,-1,721963,2024-01-16 15:10:00
2024-01-16 15:25:00,0.7915165180537395,8.472319811778126,2031.94,-1,721973,2024-01-16 15:20:00
2024-01-16 15:35:00,0.9011040798815843,8.472319811778126,2039.16,1,721983,2024-01-16 15:30:00
2024-01-16 18:05:00,0.8939786310804266,8.842868396651124,2036.02,-1,722133,2024-01-16 18:00:00
2024-01-16 18:40:00,0.7890000494116427,8.842868396651124,2033.26,-1,722168,2024-01-16 18:35:00
2024-01-17 15:35:00,0.9070407364676861,9.236983335808345,2021.66,-1,723362,2024-01-17 15:30:00
2024-01-17 16:15:00,0.7628322068004677,9.298627383250615,2019.76,-1,723402,2024-01-17 16:10:00
2024-01-17 17:00:00,0.8977382560594573,9.298627383250615,2012.1,-1,723447,2024-01-17 16:55:00
2024-01-17 17:35:00,0.7570739791031669,9.298627383250615,2006.29,-1,723482,2024-01-17 17:30:00
2024-01-18 15:35:00,0.7814772636597728,9.033664129918474,2012.29,-1,724741,2024-01-18 15:30:00
2024-01-19 15:35:00,0.7669249980473963,8.489955416278999,2037.33,1,726120,2024-01-19 15:30:00
2024-01-19 17:05:00,0.80418554426701,8.639244315116208,2028.94,-1,726210,2024-01-19 17:00:00
2024-01-22 16:45:00,0.8991784204994407,8.363995346247325,2018.18,-1,727568,2024-01-22 16:40:00
2024-01-23 09:10:00,0.7800006031325288,7.983293447630406,2034.85,1,728492,2024-01-23 09:05:00
2024-01-23 09:25:00,0.7668431522810107,7.983293447630406,2029.61,-1,728507,2024-01-23 09:20:00
2024-01-23 16:40:00,0.7778827286189491,8.164829554334384,2024.06,1,728942,2024-01-23 16:35:00
2024-01-24 15:30:00,0.817309982429716,7.662010248180597,2035.57,1,730251,2024-01-24 15:25:00
2024-01-24 16:40:00,0.8485455479121898,7.636152373310551,2027.37,-1,730321,2024-01-24 16:35:00
2024-01-25 15:35:00,0.9294942654711748,7.788007941526584,2018.09,1,731635,2024-01-25 15:30:00
2024-01-25 17:05:00,0.7863063197112142,8.231007374274686,2022.94,1,731725,2024-01-25 17:00:00
2024-01-26 15:35:00,0.8560405241780609,7.731888500729909,2021.04,-1,733014,2024-01-26 15:30:00
2024-01-26 16:40:00,0.7537261322570373,7.755325036392054,2021.98,-1,733079,2024-01-26 16:35:00
2024-01-29 01:05:00,0.7805743025637357,7.588111893623755,2023.4,1,733522,2024-01-29 01:00:00
2024-01-29 01:15:00,0.761043203197808,7.588111893623755,2024.23,1,733532,2024-01-29 01:10:00
2024-01-29 01:30:00,0.8214109122133022,7.588111893623755,2027.25,1,733547,2024-01-29 01:25:00
2024-01-29 16:45:00,0.8195875337850298,8.049202514415546,2024.4,-1,734462,2024-01-29 16:40:00
2024-01-30 16:15:00,0.7523625207303651,8.043163692876108,2042.79,1,735811,2024-01-30 16:10:00
2024-01-30 17:05:00,0.9391782570645386,8.043163692876108,2041.96,-1,735861,2024-01-30 17:00:00
2024-01-31 15:35:00,0.8372662477060848,7.8094925236119375,2040.1,1,737150,2024-01-31 15:30:00
2024-01-31 16:45:00,0.842712960952034,7.7631002004968055,2049.72,1,737220,2024-01-31 16:40:00
2024-01-31 18:05:00,0.7811092810171488,7.7631002004968055,2049.8,-1,737300,2024-01-31 18:00:00
2024-01-31 21:05:00,0.952907579101252,8.298593043318462,2044.6,-1,737480,2024-01-31 21:00:00
2024-02-01 15:35:00,0.8541218466355139,8.55585266321893,2036.72,1,738529,2024-02-01 15:30:00
2024-02-01 16:50:00,0.7818289688953101,8.814006044417583,2047.65,1,738604,2024-02-01 16:45:00
2024-02-01 17:00:00,0.8284007551754976,8.814006044417583,2046.1,-1,738614,2024-02-01 16:55:00
2024-02-01 18:15:00,0.7880517753154421,8.814006044417583,2059.92,1,738689,2024-02-01 18:10:00
2024-02-01 19:55:00,0.7612589382349123,8.814006044417583,2055.76,-1,738789,2024-02-01 19:50:00
2024-02-02 15:35:00,0.9839510968105886,8.665706766990558,2041.36,-1,739908,2024-02-02 15:30:00
2024-02-05 16:50:00,0.7857872523256394,9.967118107235336,2022.18,1,741361,2024-02-05 16:45:00
2024-02-05 17:05:00,0.91287550683961,9.967118107235336,2018.67,1,741376,2024-02-05 17:00:00
2024-02-06 17:15:00,0.7518217481330381,8.837742364744193,2034.04,1,742765,2024-02-06 17:10:00
2024-02-07 16:40:00,0.7518727937402618,7.498974584334083,2036.73,1,744109,2024-02-07 16:35:00
2024-02-07 17:20:00,0.8302013790095047,7.498974584334083,2035.84,-1,744149,2024-02-07 17:15:00
2024-02-07 17:35:00,0.7959752227396454,7.498974584334083,2039.65,-1,744164,2024-02-07 17:30:00
2024-02-08 15:35:00,0.9076205665362848,7.227220559776351,2024.17,1,745423,2024-02-08 15:30:00
2024-02-08 16:05:00,0.7683240217886991,7.965990519792337,2021.67,-1,745453,2024-02-08 16:00:00
2024-02-08 16:30:00,0.7873417698288193,7.965990519792337,2028.34,1,745478,2024-02-08 16:25:00
2024-02-09 15:35:00,0.9561010298315943,7.184890443835267,2032.4,1,746802,2024-02-09 15:30:00
2024-02-09 16:35:00,0.7898917013308302,7.498826840704171,2023.63,-1,746862,2024-02-09 16:30:00
2024-02-12 15:25:00,0.8109178179494027,6.801650659259471,2023.53,1,748170,2024-02-12 15:20:00
2024-02-12 16:25:00,0.8019723768150752,6.960104183598079,2015.38,-1,748230,2024-02-12 16:20:00
2024-02-13 15:35:00,0.9805189250231771,6.4125561013280805,2015.59,-1,749559,2024-02-13 15:30:00
2024-02-14 16:35:00,0.8118680858699722,7.404240554963802,1991.08,1,750998,2024-02-14 16:30:00
2024-02-15 15:35:00,0.9755120329295504,6.832484583012593,1995.77,-1,752317,2024-02-15 15:30:00
2024-02-15 17:40:00,0.7835029569021414,6.957307112797403,2001.99,-1,752442,2024-02-15 17:35:00
2024-02-16 15:35:00,0.9542424360273185,6.1702512342920315,1998.72,-1,753696,2024-02-16 15:30:00
2024-02-20 15:40:00,0.7533035369788502,6.0865291959197565,2028.73,1,756294,2024-02-20 15:35:00
2024-02-20 16:35:00,0.7942600284589543,6.173205681925485,2027.84,-1,756349,2024-02-20 16:30:00
2024-02-20 17:05:00,0.7534668963706348,6.173205681925485,2028.73,1,756379,2024-02-20 17:00:00
2024-02-21 21:05:00,0.8117913537965609,5.987066797123063,2024.51,1,757998,2024-02-21 21:00:00
2024-02-22 10:20:00,0.7739481991374845,5.776838831370035,2032.88,1,758732,2024-02-22 10:15:00
2024-02-22 15:35:00,0.8886356614150271,5.833493200557885,2025.5,-1,759047,2024-02-22 15:30:00
2024-02-22 16:35:00,0.804257841492038,6.025386543375177,2023.67,-1,759107,2024-02-22 16:30:00
2024-02-23 17:00:00,0.7943549886625834,6.409009043325152,2027.46,1,760511,2024-02-23 16:55:00
2024-02-23 18:35:00,0.800203511999525,6.409009043325152,2036.72,1,760606,2024-02-23 18:30:00
2024-02-26 16:45:00,0.7707812684802497,6.434172970473005,2028.1,-1,761873,2024-02-26 16:40:00
2024-02-27 17:05:00,0.8295313181743504,5.863244063304275,2034.47,-1,763272,2024-02-27 17:00:00
2024-02-28 15:35:00,0.8799123868571735,5.921648658290494,2034.75,1,764561,2024-02-28 15:30:00
2024-02-29 15:35:00,0.9747277973123207,5.649898799696875,2037.7,1,765939,2024-02-29 15:30:00
2024-02-29 16:35:00,0.7516181454685625,6.719191742575679,2047.23,-1,765999,2024-02-29 16:30:00
2024-02-29 16:45:00,0.80915620623964,6.719191742575679,2049.73,1,766009,2024-02-29 16:40:00
2024-03-01 15:40:00,0.8784568821406509,6.305068553422975,2051.52,-1,767323,2024-03-01 15:35:00
2024-03-01 16:35:00,0.7684775354383715,6.678992228178474,2052.4,1,767378,2024-03-01 16:30:00
2024-03-01 16:45:00,0.7737687264022965,6.678992228178474,2051.61,-1,767388,2024-03-01 16:40:00
2024-03-04 16:00:00,0.8884787724997614,8.528157883553721,2091.56,1,768721,2024-03-04 15:55:00
2024-03-04 17:05:00,0.8092077943699786,8.528157883553721,2098.54,1,768786,2024-03-04 17:00:00
2024-03-04 17:25:00,0.7541938796800683,8.528157883553721,2101.49,1,768806,2024-03-04 17:20:00
2024-03-04 18:05:00,0.7747567044310661,8.528157883553721,2108.83,1,768846,2024-03-04 18:00:00
2024-03-04 18:15:00,0.8918859918759484,8.528157883553721,2115.73,1,768856,2024-03-04 18:10:00
2024-03-04 19:05:00,0.7621157095801442,8.528157883553721,2116.73,-1,768906,2024-03-04 19:00:00
2024-03-05 15:25:00,0.7903478602321495,9.506187777150753,2130.07,1,770065,2024-03-05 15:20:00
2024-03-06 15:25:00,0.7558417725234197,9.399310054223918,2136.99,1,771444,2024-03-06 15:20:00
2024-03-06 16:35:00,0.8354711992745801,9.797216478922227,2144.29,1,771514,2024-03-06 16:30:00
2024-03-07 06:10:00,0.7604454011601435,10.327796867416946,2155.81,1,772268,2024-03-07 06:05:00
2024-03-07 15:10:00,0.8208333976424409,10.539477911191158,2158.44,1,772808,2024-03-07 15:05:00
2024-03-07 15:20:00,0.7636809584389381,10.539477911191158,2159.39,1,772818,2024-03-07 15:15:00
2024-03-07 16:05:00,0.7792115451451278,10.608800917534662,2156.48,-1,772863,2024-03-07 16:00:00
2024-03-07 16:15:00,0.7591519542711878,10.608800917534662,2155.8,-1,772873,2024-03-07 16:10:00
2024-03-07 16:40:00,0.7888533211091017,10.608800917534662,2150.85,-1,772898,2024-03-07 16:35:00
2024-03-08 15:30:00,0.7772488303735224,9.971388147561711,2163.86,-1,774206,2024-03-08 15:25:00
2024-03-08 19:20:00,0.8125930074791067,11.363431851307306,2194.95,1,774436,2024-03-08 19:15:00
2024-03-11 16:05:00,0.7929395611223492,11.897757156719438,2176.37,-1,775679,2024-03-11 16:00:00
2024-03-12 14:35:00,0.9819672670115426,10.415169475497274,2170.43,-1,776968,2024-03-12 14:30:00
2024-03-12 16:05:00,0.7836957968979112,11.521228798676047,2157.17,-1,777058,2024-03-12 16:00:00
2024-03-12 16:20:00,0.786366001783189,11.521228798676047,2159.53,-1,777073,2024-03-12 16:15:00
2024-03-13 15:40:00,0.8224968603930197,10.09569041981545,2169.33,1,778412,2024-03-13 15:35:00
2024-03-14 14:35:00,0.8982932328560522,9.288429492810549,2164.42,-1,779726,2024-03-14 14:30:00
2024-03-15 14:35:00,0.7970140401008269,8.789205509046411,2162.82,-1,781105,2024-03-15 14:30:00
2024-03-15 15:35:00,0.8069466230303033,8.789205509046411,2157.69,-1,781165,2024-03-15 15:30:00
2024-03-15 16:15:00,0.7990100459737481,9.31711940125737,2162.63,1,781205,2024-03-15 16:10:00
2024-03-19 10:25:00,0.7758062920067565,7.83099264619643,2149.37,-1,783612,2024-03-19 10:20:00
2024-03-19 14:35:00,0.7824275499038392,8.032350314325262,2153.54,-1,783862,2024-03-19 14:30:00
2024-03-20 15:45:00,0.7995667217470062,7.198229826955838,2154.22,-1,785311,2024-03-20 15:40:00
2024-03-20 20:05:00,0.9688300811024633,7.5375553099772095,2170.25,1,785571,2024-03-20 20:00:00
2024-03-21 00:20:00,0.9775197030443888,9.293444216407433,2210.07,1,785765,2024-03-21 00:15:00
2024-03-21 01:55:00,0.765907943748796,9.293444216407433,2203.96,-1,785860,2024-03-21 01:50:00
2024-03-21 02:05:00,0.7991714636661625,9.293444216407433,2202.27,-1,785870,2024-03-21 02:00:00
2024-03-21 02:30:00,0.8884436344218655,9.293444216407433,2196.83,-1,785895,2024-03-21 02:25:00
2024-03-21 10:45:00,0.819878832630968,10.761847309045198,2197.97,-1,786390,2024-03-21 10:40:00
2024-03-21 15:35:00,0.7770841579266038,10.948858215541945,2199.92,-1,786680,2024-03-21 15:30:00
2024-03-21 15:50:00,0.8577836838253013,10.948858215541945,2196.06,-1,786695,2024-03-21 15:45:00
2024-03-21 17:05:00,0.79282100528892,11.602511200146084,2170.47,-1,786770,2024-03-21 17:00:00
2024-03-25 03:40:00,0.7688075692391898,12.42684114594474,2176.49,1,788722,2024-03-25 03:35:00
2024-03-26 11:45:00,0.9117288132412601,10.338732501634661,2191.91,1,790586,2024-03-26 11:40:00
2024-03-26 15:45:00,0.8829752976123296,11.42668018008934,2180.75,-1,790826,2024-03-26 15:40:00
2024-03-27 11:45:00,0.7963099505746335,11.094140302600733,2188.96,1,791965,2024-03-27 11:40:00
2024-03-27 11:55:00,0.8026138894449636,11.094140302600733,2189.01,1,791975,2024-03-27 11:50:00
2024-03-27 15:40:00,0.7557627495312493,11.543130280986404,2190.92,1,792200,2024-03-27 15:35:00
2024-03-28 12:25:00,0.8222648160282715,10.609179870902702,2206.23,1,793384,2024-03-28 12:20:00
2024-03-28 14:20:00,0.7785628935538531,10.609179870902702,2212.2,1,793499,2024-03-28 14:15:00
2024-03-28 14:35:00,0.8254179445520156,10.609179870902702,2208.67,-1,793514,2024-03-28 14:30:00
2024-03-28 15:35:00,0.8283402715507994,10.609179870902702,2207.93,-1,793574,2024-03-28 15:30:00
2024-04-01 04:05:00,0.8106344864895426,13.227874226698564,2258.93,1,794203,2024-04-01 04:00:00
2024-04-01 16:40:00,0.763595337443048,13.10762378865042,2250.32,-1,794958,2024-04-01 16:35:00
2024-04-02 16:40:00,0.7680644162752595,13.676690725918883,2263.64,1,796337,2024-04-02 16:35:00
2024-04-02 17:05:00,0.9180831013704622,13.676690725918883,2273.05,1,796362,2024-04-02 17:00:00
2024-04-03 15:25:00,0.766767807742395,14.763837109720992,2268.51,-1,797641,2024-04-03 15:20:00
2024-04-03 17:05:00,0.9033035180511848,14.407848744740903,2278.04,1,797741,2024-04-03 17:00:00
2024-04-04 15:35:00,0.7562185962056508,13.459934372547663,2286.18,-1,799030,2024-04-04 15:30:00
2024-04-04 15:45:00,0.7724492704107258,13.459934372547663,2282.96,-1,799040,2024-04-04 15:40:00
2024-04-04 17:05:00,0.7607313856309307,13.383510488794249,2291.94,1,799120,2024-04-04 17:00:00
2024-04-04 22:05:00,0.9058535358240707,13.472545453880382,2297.1,-1,799420,2024-04-04 22:00:00
2024-04-04 22:40:00,0.8215346767822337,13.472545453880382,2284.89,-1,799455,2024-04-04 22:35:00
2024-04-05 04:20:00,0.7684198859129763,14.082449906662191,2274.6,-1,799734,2024-04-05 04:15:00
2024-04-05 15:35:00,0.974492042951317,14.317265480744464,2286.02,-1,800409,2024-04-05 15:30:00
2024-04-05 17:15:00,0.824494728266144,14.418175089262718,2303.84,1,800509,2024-04-05 17:10:00
2024-04-08 01:20:00,0.8824084598172016,15.951589745333667,2311.26,-1,800932,2024-04-08 01:15:00
2024-04-08 05:00:00,0.7688431249560053,16.637190477809813,2324.16,1,801152,2024-04-08 04:55:00
2024-04-08 05:20:00,0.7683493440397375,16.637190477809813,2327.96,1,801172,2024-04-08 05:15:00
2024-04-08 05:40:00,0.9274962153700358,16.637190477809813,2347.09,1,801192,2024-04-08 05:35:00
2024-04-08 15:30:00,0.8666800842885825,18.579975463009507,2326.73,-1,801782,2024-04-08 15:25:00
2024-04-08 16:45:00,0.7698881497579426,18.747120072794548,2331.35,1,801857,2024-04-08 16:40:00
2024-04-08 17:05:00,0.8192839216161791,18.747120072794548,2319.51,-1,801877,2024-04-08 17:00:00
2024-04-09 16:40:00,0.8222446826730111,17.02837564644691,2356.79,1,803231,2024-04-09 16:35:00
2024-04-09 17:45:00,0.8472437286819563,17.02837564644691,2346.31,-1,803296,2024-04-09 17:40:00
2024-04-10 15:35:00,0.9584697866921844,15.536133844707972,2329.62,-1,804545,2024-04-10 15:30:00
2024-04-10 18:15:00,0.7895457264747547,16.352838570085993,2332.09,-1,804705,2024-04-10 18:10:00
2024-04-10 20:35:00,0.8462039188763306,17.539778672222692,2344.2,1,804845,2024-04-10 20:30:00
2024-04-11 15:35:00,0.9081941941839474,16.652668644766564,2342.17,1,805924,2024-04-11 15:30:00
2024-04-11 17:40:00,0.7888970310797375,16.63604945585467,2333.41,-1,806049,2024-04-11 17:35:00
2024-04-12 04:05:00,0.7908418073164927,17.05754761461832,2386.58,1,806613,2024-04-12 04:00:00
2024-04-12 15:50:00,0.7612467887716114,17.042579320767842,2392.18,-1,807318,2024-04-12 15:45:00
2024-04-12 16:35:00,0.8140842870519841,16.533823654998717,2398.27,-1,807363,2024-04-12 16:30:00
2024-04-12 17:55:00,0.7597854050664371,16.533823654998717,2422.23,1,807443,2024-04-12 17:50:00
2024-04-12 19:20:00,0.8256302681356595,16.533823654998717,2380.72,-1,807528,2024-04-12 19:15:00
2024-04-15 01:10:00,0.8038709029326524,21.75380713109583,2370.45,1,807816,2024-04-15 01:05:00
2024-04-15 01:40:00,0.7729023895257446,21.75380713109583,2358.04,-1,807846,2024-04-15 01:35:00
2024-04-15 04:15:00,0.8349652725791581,22.24282090744612,2352.05,-1,808001,2024-04-15 04:10:00
2024-04-15 16:45:00,0.8049442458687289,21.053876652208153,2345.16,-1,808751,2024-04-15 16:40:00
2024-04-15 17:10:00,0.87693266023432,21.053876652208153,2326.73,-1,808776,2024-04-15 17:05:00
2024-04-15 17:40:00,0.8562824494913484,21.053876652208153,2344.89,1,808806,2024-04-15 17:35:00
2024-04-16 09:45:00,0.8190262491040559,21.343731806115077,2370.12,-1,809710,2024-04-16 09:40:00
2024-04-16 16:40:00,0.8089698042513009,20.895666710374766,2372.91,-1,810125,2024-04-16 16:35:00
2024-04-16 17:25:00,0.7957295214532364,20.895666710374766,2367.73,-1,810170,2024-04-16 17:20:00
2024-04-17 19:45:00,0.7533233676413266,19.3823005851406,2365.83,-1,811689,2024-04-17 19:40:00
2024-04-18 16:40:00,0.918909205000937,17.928337870363055,2379.34,-1,812883,2024-04-18 16:35:00
2024-04-18 17:40:00,0.7598777818871868,17.928337870363055,2372.63,-1,812943,2024-04-18 17:35:00
2024-04-19 04:15:00,0.7932228431078766,17.164726057284117,2389.2,1,813517,2024-04-19 04:10:00
2024-04-19 05:45:00,0.8395393506093085,17.164726057284117,2400.12,-1,813607,2024-04-19 05:40:00
2024-04-22 16:35:00,0.7610683243367978,19.158365760971027,2333.27,-1,815635,2024-04-22 16:30:00
2024-04-23 04:40:00,0.8930842296075595,17.433618650456747,2314.35,-1,816299,2024-04-23 04:35:00
2024-04-23 16:50:00,0.9100797187858617,18.999114495281855,2323.32,1,817029,2024-04-23 16:45:00
2024-04-24 16:50:00,0.7908731894073054,16.766339790108855,2319.08,1,818408,2024-04-24 16:45:00
2024-04-25 15:35:00,0.8472307187917723,16.102888769725602,2325.41,-1,819712,2024-04-25 15:30:00
2024-04-25 17:35:00,0.7513072840591593,15.775539571888059,2333.31,1,819832,2024-04-25 17:30:00
2024-04-26 15:35:00,0.8049625981052546,15.426081160872444,2345.97,1,821091,2024-04-26 15:30:00
2024-04-26 16:05:00,0.7967910497063669,15.17993250652438,2350.14,1,821121,2024-04-26 16:00:00
2024-04-26 16:35:00,0.774719874246814,15.17993250652438,2342.94,-1,821151,2024-04-26 16:30:00
2024-04-26 17:55:00,0.758766575087691,15.17993250652438,2329.94,-1,821231,2024-04-26 17:50:00
2024-04-29 04:40:00,0.8362855937268272,14.571775407009515,2326.4,-1,821814,2024-04-29 04:35:00
2024-04-29 16:45:00,0.7751662838407668,14.562820907142816,2330.87,-1,822539,2024-04-29 16:40:00
2024-04-30 15:35:00,0.8298107599274827,14.13464250958634,2307.53,-1,823848,2024-04-30 15:30:00
2024-04-30 16:40:00,0.8025927105551177,14.07931090175872,2307.89,1,823913,2024-04-30 16:35:00
2024-04-30 16:50:00,0.7953706736129668,14.07931090175872,2312.87,1,823923,2024-04-30 16:45:00
2024-04-30 17:05:00,0.8025298165846315,14.07931090175872,2306.62,1,823938,2024-04-30 17:00:00
2024-04-30 18:00:00,0.8056843379047085,14.07931090175872,2293.06,-1,823993,2024-04-30 17:55:00
2024-05-01 17:05:00,0.8412443372912711,13.102650833252797,2303.97,1,825317,2024-05-01 17:00:00
2024-05-01 21:05:00,0.805032117213275,13.262461488020433,2306.05,1,825557,2024-05-01 21:00:00
2024-05-02 16:00:00,0.7556496259994783,13.864051759072808,2294.46,-1,826631,2024-05-02 15:55:00
2024-05-02 16:10:00,0.8025276513987647,13.864051759072808,2289.68,-1,826641,2024-05-02 16:05:00
2024-05-02 16:35:00,0.7530614799570438,13.864051759072808,2292.8,-1,826666,2024-05-02 16:30:00
2024-05-02 17:05:00,0.8112391552631392,13.864051759072808,2292.32,-1,826696,2024-05-02 17:00:00
2024-05-02 17:20:00,0.8446862703339447,13.864051759072808,2297.48,1,826711,2024-05-02 17:15:00
2024-05-03 15:35:00,0.9907003820430076,12.949885445389969,2315.27,1,827985,2024-05-03 15:30:00
2024-05-06 04:05:00,0.7649788689174465,14.564691748380474,2305.61,1,828673,2024-05-06 04:00:00
2024-05-06 16:45:00,0.7634913808291758,15.0261034151574,2330.15,1,829433,2024-05-06 16:40:00
2024-05-08 16:25:00,0.836371218518056,12.307445412466583,2310.61,-1,832170,2024-05-08 16:20:00
2024-05-09 15:35:00,0.7846023028345074,11.35762174899399,2323.16,1,833499,2024-05-09 15:30:00
2024-05-09 16:15:00,0.9411381622336477,12.165648766922997,2314.8,-1,833539,2024-05-09 16:10:00
2024-05-09 17:10:00,0.8525517416214325,12.165648766922997,2331.15,1,833594,2024-05-09 17:05:00
2024-05-10 15:35:00,0.7584899325066318,12.965497556109723,2366.19,-1,834878,2024-05-10 15:30:00
2024-05-10 15:55:00,0.8187528176175156,12.965497556109723,2366.07,-1,834898,2024-05-10 15:50:00
2024-05-10 16:35:00,0.8238003150207504,13.22653344495902,2366.28,1,834938,2024-05-10 16:30:00
2024-05-10 17:15:00,0.7591644283965034,13.22653344495902,2367.62,1,834978,2024-05-10 17:10:00
2024-05-10 17:25:00,0.780062642978671,13.22653344495902,2362.18,-1,834988,2024-05-10 17:20:00
2024-05-13 16:45:00,0.8044868317948328,12.490739175817627,2342.74,-1,836326,2024-05-13 16:40:00
2024-05-13 18:05:00,0.7979248292312966,12.490739175817627,2337.09,-1,836406,2024-05-13 18:00:00
2024-05-13 18:15:00,0.7546929890495964,12.490739175817627,2337.3,-1,836416,2024-05-13 18:10:00
2024-05-14 15:35:00,0.8805464409015378,11.34382175359754,2341.29,-1,837633,2024-05-14 15:30:00
2024-05-14 16:35:00,0.7700204714760311,11.518548771197713,2346.0,-1,837693,2024-05-14 16:30:00
