decision,S,dir,entry,cat,pnlR,cp,r2,censored,end_ms
2024-01-05 15:35:00,8.51439,-1,2029.27,RUNNER2,1.51508,1,1,0,401881044
2024-01-12 15:35:00,9.64296,1,2052.45,RUNNER2,1.5265,1,1,0,1008127652
2024-01-26 15:35:00,7.73189,-1,2021.06,CP_BE,0.501818,1,0,0,2216421802
2024-02-02 15:35:00,8.66571,-1,2041.3,RUNNER2,1.51171,1,1,0,2821021324
2024-02-13 15:35:00,6.41256,-1,2015.57,SL,-1.07913,0,0,0,3771306515
2024-02-16 15:35:00,6.17025,-1,1998.65,RUNNER2,1.50723,1,1,0,4030563733
2024-02-29 15:35:00,5.6499,1,0,START_GAP,0,0,0,1,0
2024-04-05 15:35:00,14.3173,-1,2285.89,SL,-1.01416,0,0,0,8264236755
2024-04-10 15:35:00,15.5361,-1,2329.62,SL,-1.00154,0,0,0,8696187902
2024-04-11 15:35:00,16.6527,1,2342.45,TIMEOUT15,-0.0456383,0,0,0,8783400054
2024-04-26 15:35:00,15.4261,1,2346.27,CP_BE,0.504341,1,0,0,10079168257
2024-05-03 15:35:00,12.9499,1,2315.56,SL,-1.06565,0,0,0,10683423657
2024-05-14 15:35:00,11.3438,-1,2341.35,SL,-1.00848,0,0,0,11633837214
2024-05-15 15:35:00,10.9505,1,2370.94,SL,-1.01548,0,0,0,11720194349
2024-05-31 15:35:00,10.4713,1,0,START_GAP,0,0,0,1,0
2024-06-07 15:35:00,14.6743,-1,2320.18,CP_BE,0.500193,1,0,0,13707464257
2024-06-12 15:35:00,12.1117,1,2325.27,SL,-1.00399,0,0,0,14139330825
2024-06-13 15:35:00,13.6172,1,2320.14,CP_BE,0.500837,1,0,0,14225946106
2024-06-28 15:35:00,9.55367,1,2337.19,SL,-1.00066,0,0,0,15522110156
2024-07-05 15:35:00,8.07352,1,2370.45,CP_BE,0.557377,1,0,0,16126650909
2024-07-11 15:35:00,9.28384,1,2399.85,CP_BE,0.521336,1,0,0,16645193903
2024-07-12 15:35:00,11.062,-1,2395.85,SL,-1.00162,0,0,0,16731390507
2024-07-26 15:35:00,13.8715,1,2375.29,CP_BE,0.501749,1,0,0,17941469450
2024-08-02 15:35:00,14.3995,1,2473.71,CP_BE,0.504183,1,0,0,18545812505
2024-08-13 15:35:00,13.1059,1,2470.58,TIMEOUT15,-0.576841,0,0,0,19497000002
2024-08-14 15:35:00,13.2329,-1,2465.9,SL,-1.03076,0,0,0,19582635408
2024-09-06 15:35:00,10.4214,1,2524.53,CP_BE,0.502812,1,0,0,21569741506
2024-09-11 15:35:00,9.98622,-1,2511.28,RUNNER2,1.53812,1,1,0,22001933204
2024-09-12 15:35:00,10.1178,1,2524.65,RUNNER2,1.57346,1,1,0,22088493809
2024-09-27 15:35:00,11.7852,1,2669.88,CP_BE,0.500628,1,0,0,23384971204
2024-10-04 15:35:00,11.6508,-1,2641.02,SL,-1.04027,0,0,0,23988965419
2024-10-10 15:35:00,12.4954,1,2621.13,CP_BE,0.513788,1,0,0,24507388409
2024-11-13 15:35:00,16.3927,1,2612.31,SL,-1.01265,0,0,0,27445580153
2024-12-06 15:35:00,14.1578,1,2637.3,CP_BE,0.526917,1,0,0,29432618596
2024-12-20 15:35:00,14.7432,1,2606.65,RUNNER2,1.54376,1,1,0,30642707159
