source_k,year,dir,sweep_time,trigger_time,fraction,broken_m5_level,trigger_close,limit_entry,sl_exec,risk,fill_time,outcome,resolved_at_h,mfe_abs,mae_abs,mfe_r,mae_r,m30_exp,m30_owner,h1_owner,direct_transfer,owner_agree,both_branch,accept_leg_abs,base_R,harvest_R,m30_atr_calc,accept_leg_m30,branch
99.0,2023,-1,2023-01-27 15:32:00,2023-01-27 16:00:00,0.5,1930.5,1928.81,1929.655,1935.1299999999999,5.474999999999909,2023-01-27 16:01:00,TP5,2023-01-31 13:31:00,27.935000000000173,4.915000000000191,5.102283105022948,0.8977168949772187,1.1024705687282341,1,-1,True,False,False,1.6900000000000546,5.0,4.5,3.176428571428541,0.5320440746570945,EXP_ONLY
99.0,2023,1,2023-01-31 14:09:00,2023-01-31 14:35:00,0.5,1903.24,1903.55,1903.5149999999999,1900.83,2.6849999999999454,2023-01-31 14:36:00,TP5,2023-01-31 15:48:00,14.545000000000073,1.6349999999997635,5.417132216015035,0.6089385474859578,1.401454797367494,-1,-1,True,False,False,0.30999999999994543,5.0,4.5,3.5828571428571485,0.08652312599679483,EXP_ONLY
99.0,2023,-1,2023-02-03 04:02:00,2023-02-03 04:15:00,0.5,1916.95,1916.89,1916.92,1918.75,1.8299999999999272,2023-02-03 04:16:00,BE,2023-02-03 14:42:00,7.500000000000227,1.4199999999998454,4.098360655737992,0.7759562841529518,1.3640645069216488,-1,-1,True,True,True,0.05999999999994543,0.0,0.75,2.632142857142867,0.02279511533240795,BOTH
99.0,2023,-1,2023-02-06 02:59:00,2023-02-06 03:05:00,0.5,1865.75,1864.92,1865.335,1870.1399999999999,4.804999999999836,2023-02-06 03:06:00,SL,2023-02-06 03:22:00,0.0,5.0349999999998545,0.0,1.0478668054110356,1.4421608925425728,1,-1,True,False,False,0.8299999999999272,-1.0,-1.0,3.8307142857142935,0.21666977437999174,EXP_ONLY
99.0,2023,1,2023-04-26 20:34:00,2023-04-26 21:00:00,0.5,1988.16,1988.35,1988.375,1983.3,5.0750000000000455,2023-04-26 21:03:00,SL,2023-04-27 15:44:00,14.904999999999973,6.535000000000082,2.93694581280785,1.287684729064044,1.2398172820708102,-1,-1,True,False,False,0.1899999999998272,-1.0,-1.0,6.136428571428594,0.030962635316000128,EXP_ONLY
99.0,2023,1,2023-05-26 03:50:00,2023-05-26 04:00:00,0.5,1940.44,1940.87,1940.7749999999999,1936.75,4.024999999999864,2023-05-26 04:04:00,BE,2023-05-26 17:44:00,16.475000000000136,0.45499999999992724,4.093167701863527,0.11304347826085533,1.0022844089091894,-1,-1,True,False,False,0.4299999999998363,0.0,0.75,2.1114285714285512,0.2036535859268527,EXP_ONLY
99.0,2023,-1,2023-06-12 22:56:00,2023-06-12 23:45:00,0.5,1957.08,1956.91,1956.995,1958.87,1.875,2023-06-12 23:51:00,SL,2023-06-13 02:00:00,0.01499999999987267,2.2150000000001455,0.007999999999932091,1.1813333333334108,0.9885535900104114,-1,-1,True,True,False,0.16999999999984539,-1.0,-1.0,3.363571428571455,0.050541516245441,OWNER_ONLY
99.0,2023,1,2023-06-27 02:36:00,2023-06-27 03:30:00,0.5,1922.81,1923.42,1923.255,1921.02,2.2350000000001273,2023-06-27 03:43:00,BE,2023-06-27 13:16:00,7.154999999999973,1.5550000000000637,3.201342281879,0.6957494407158725,1.3812909260991513,-1,1,True,False,False,0.6100000000001273,0.0,0.75,1.4164285714285663,0.4306606152295418,EXP_ONLY
99.0,2023,-1,2023-06-27 15:38:00,2023-06-27 15:50:00,0.5,1925.46,1925.12,1925.29,1930.58,5.289999999999964,2023-06-27 15:54:00,SL,2023-06-27 16:36:00,0.8400000000001455,5.5,0.15879017013235375,1.0396975425330883,0.8913707215169497,-1,-1,True,True,False,0.3400000000001455,-1.0,-1.0,2.621428571428591,0.12970027247961857,OWNER_ONLY
99.0,2023,-1,2023-06-29 17:50:00,2023-06-29 18:40:00,0.5,1909.73,1909.06,1909.395,1913.2099999999998,3.814999999999827,2023-06-29 18:41:00,SL,2023-06-30 15:43:00,8.745000000000118,4.574999999999818,2.292267365661996,1.1992136304062977,1.277777777777774,-1,-1,True,True,True,0.6700000000000728,-1.0,-1.0,4.803571428571412,0.13947955390336136,BOTH
