phase,year,m5_index,decision,accept_time,direction,pre_same75,pre_opp75,ext_p60,ext_p120,ext_p240,same75_afteracc_H60,opp75_afteracc_H60,first75_afteracc_H60,same75_afteracc_H120,opp75_afteracc_H120,first75_afteracc_H120,same75_afteracc_H240,opp75_afteracc_H240,first75_afteracc_H240
0,2024,142090,2024-01-03 15:35:00,2024-01-03 15:50:00,-1,False,False,0.47836240588104845,0.692633344480656,0.8860984759632683,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,142100,2024-01-03 16:25:00,2024-01-03 16:38:00,-1,False,False,0.45061179308678606,0.6683743938073372,0.8633997814560812,0.0,1.0,-1.0,0,1,-1,0,1,-1
0,2024,142162,2024-01-03 21:35:00,2024-01-03 21:50:00,-1,False,False,0.41825291592915215,0.6377709633784897,0.7117347558444851,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,142366,2024-01-04 15:35:00,2024-01-04 15:45:00,-1,False,False,0.33104100542080966,0.7093115679568958,0.8601023001011205,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,142642,2024-01-05 15:35:00,2024-01-05 15:38:00,-1,False,False,0.8189806951013407,0.8283894802824282,0.8454727859153999,0.0,1.0,-1.0,0,1,-1,0,1,-1
0,2024,143744,2024-01-11 15:25:00,2024-01-11 15:34:00,-1,True,False,0.48097751637298536,0.676037185139035,0.8093278606490524,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,143783,2024-01-11 18:40:00,2024-01-11 18:50:00,1,False,False,0.20580779036327285,0.4147513331305358,0.5075281908355699,0.0,0.0,0.0,0,0,0,1,0,1
0,2024,143785,2024-01-11 18:50:00,2024-01-11 18:58:00,-1,False,False,0.2634842426542331,0.42657645506030845,0.5059007683970895,0.0,0.0,0.0,0,0,0,0,1,-1
0,2024,144022,2024-01-12 15:35:00,2024-01-12 15:46:00,1,False,False,0.5321177568950084,0.7574608194606647,0.882621621531714,1.0,0.0,1.0,1,0,1,1,1,1
0,2024,144028,2024-01-12 16:05:00,2024-01-12 16:17:00,-1,False,False,0.5066283833350325,0.7121746598237924,0.8761266787293376,0.0,0.0,0.0,0,0,0,1,0,1
0,2024,144574,2024-01-16 18:05:00,2024-01-16 18:13:00,-1,False,False,0.6455776746758503,0.7741675240790679,0.8612928953223588,0.0,0.0,0.0,1,0,1,1,0,1
0,2024,144844,2024-01-17 17:35:00,2024-01-17 17:40:00,1,False,False,0.2769675343469589,0.4681134553014764,0.6497662892049096,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,145096,2024-01-18 15:35:00,2024-01-18 15:56:00,-1,False,False,0.348067358334281,0.632288064775707,0.7683067316772013,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,145372,2024-01-19 15:35:00,2024-01-19 15:53:00,-1,False,False,0.34192733420377186,0.6371334975906207,0.747243571865446,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,145390,2024-01-19 17:05:00,2024-01-19 17:08:00,-1,False,False,0.36417865666886345,0.6255837726946445,0.8008475454196312,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,146199,2024-01-24 15:30:00,2024-01-24 15:38:00,-1,False,False,0.536271255475106,0.7736770554244129,0.877814731107806,0.0,0.0,0.0,1,0,1,1,0,1
0,2024,146752,2024-01-26 15:35:00,2024-01-26 16:18:00,1,False,False,0.5958026145728168,0.8818832196079563,0.9360963825101587,0.0,0.0,0.0,0,0,0,0,0,0
